idUser,name,"age_numerical","gender_nominal","occupation_nominal","zipcode_nominal"
1,"ml100k-user_1",24.0,"M","technician","85711"
2,"ml100k-user_2",53.0,"F","other","94043"
3,"ml100k-user_3",23.0,"M","writer","32067"
4,"ml100k-user_4",24.0,"M","technician","43537"
5,"ml100k-user_5",33.0,"F","other","15213"
6,"ml100k-user_6",42.0,"M","executive","98101"
7,"ml100k-user_7",57.0,"M","administrator","91344"
8,"ml100k-user_8",36.0,"M","administrator","05201"
9,"ml100k-user_9",29.0,"M","student","01002"
10,"ml100k-user_10",53.0,"M","lawyer","90703"
11,"ml100k-user_11",39.0,"F","other","30329"
12,"ml100k-user_12",28.0,"F","other","06405"
13,"ml100k-user_13",47.0,"M","educator","29206"
14,"ml100k-user_14",45.0,"M","scientist","55106"
15,"ml100k-user_15",49.0,"F","educator","97301"
16,"ml100k-user_16",21.0,"M","entertainment","10309"
17,"ml100k-user_17",30.0,"M","programmer","06355"
18,"ml100k-user_18",35.0,"F","other","37212"
19,"ml100k-user_19",40.0,"M","librarian","02138"
20,"ml100k-user_20",42.0,"F","homemaker","95660"
21,"ml100k-user_21",26.0,"M","writer","30068"
22,"ml100k-user_22",25.0,"M","writer","40206"
23,"ml100k-user_23",30.0,"F","artist","48197"
24,"ml100k-user_24",21.0,"F","artist","94533"
25,"ml100k-user_25",39.0,"M","engineer","55107"
26,"ml100k-user_26",49.0,"M","engineer","21044"
27,"ml100k-user_27",40.0,"F","librarian","30030"
28,"ml100k-user_28",32.0,"M","writer","55369"
29,"ml100k-user_29",41.0,"M","programmer","94043"
30,"ml100k-user_30",7.0,"M","student","55436"
31,"ml100k-user_31",24.0,"M","artist","10003"
32,"ml100k-user_32",28.0,"F","student","78741"
33,"ml100k-user_33",23.0,"M","student","27510"
34,"ml100k-user_34",38.0,"F","administrator","42141"
35,"ml100k-user_35",20.0,"F","homemaker","42459"
36,"ml100k-user_36",19.0,"F","student","93117"
37,"ml100k-user_37",23.0,"M","student","55105"
38,"ml100k-user_38",28.0,"F","other","54467"
39,"ml100k-user_39",41.0,"M","entertainment","01040"
40,"ml100k-user_40",38.0,"M","scientist","27514"
41,"ml100k-user_41",33.0,"M","engineer","80525"
42,"ml100k-user_42",30.0,"M","administrator","17870"
43,"ml100k-user_43",29.0,"F","librarian","20854"
44,"ml100k-user_44",26.0,"M","technician","46260"
45,"ml100k-user_45",29.0,"M","programmer","50233"
46,"ml100k-user_46",27.0,"F","marketing","46538"
47,"ml100k-user_47",53.0,"M","marketing","07102"
48,"ml100k-user_48",45.0,"M","administrator","12550"
49,"ml100k-user_49",23.0,"F","student","76111"
50,"ml100k-user_50",21.0,"M","writer","52245"
51,"ml100k-user_51",28.0,"M","educator","16509"
52,"ml100k-user_52",18.0,"F","student","55105"
53,"ml100k-user_53",26.0,"M","programmer","55414"
54,"ml100k-user_54",22.0,"M","executive","66315"
55,"ml100k-user_55",37.0,"M","programmer","01331"
56,"ml100k-user_56",25.0,"M","librarian","46260"
57,"ml100k-user_57",16.0,"M","none","84010"
58,"ml100k-user_58",27.0,"M","programmer","52246"
59,"ml100k-user_59",49.0,"M","educator","08403"
60,"ml100k-user_60",50.0,"M","healthcare","06472"
61,"ml100k-user_61",36.0,"M","engineer","30040"
62,"ml100k-user_62",27.0,"F","administrator","97214"
63,"ml100k-user_63",31.0,"M","marketing","75240"
64,"ml100k-user_64",32.0,"M","educator","43202"
65,"ml100k-user_65",51.0,"F","educator","48118"
66,"ml100k-user_66",23.0,"M","student","80521"
67,"ml100k-user_67",17.0,"M","student","60402"
68,"ml100k-user_68",19.0,"M","student","22904"
69,"ml100k-user_69",24.0,"M","engineer","55337"
70,"ml100k-user_70",27.0,"M","engineer","60067"
71,"ml100k-user_71",39.0,"M","scientist","98034"
72,"ml100k-user_72",48.0,"F","administrator","73034"
73,"ml100k-user_73",24.0,"M","student","41850"
74,"ml100k-user_74",39.0,"M","scientist","T8H1N"
75,"ml100k-user_75",24.0,"M","entertainment","08816"
76,"ml100k-user_76",20.0,"M","student","02215"
77,"ml100k-user_77",30.0,"M","technician","29379"
78,"ml100k-user_78",26.0,"M","administrator","61801"
79,"ml100k-user_79",39.0,"F","administrator","03755"
80,"ml100k-user_80",34.0,"F","administrator","52241"
81,"ml100k-user_81",21.0,"M","student","21218"
82,"ml100k-user_82",50.0,"M","programmer","22902"
83,"ml100k-user_83",40.0,"M","other","44133"
84,"ml100k-user_84",32.0,"M","executive","55369"
85,"ml100k-user_85",51.0,"M","educator","20003"
86,"ml100k-user_86",26.0,"M","administrator","46005"
87,"ml100k-user_87",47.0,"M","administrator","89503"
88,"ml100k-user_88",49.0,"F","librarian","11701"
89,"ml100k-user_89",43.0,"F","administrator","68106"
90,"ml100k-user_90",60.0,"M","educator","78155"
91,"ml100k-user_91",55.0,"M","marketing","01913"
92,"ml100k-user_92",32.0,"M","entertainment","80525"
93,"ml100k-user_93",48.0,"M","executive","23112"
94,"ml100k-user_94",26.0,"M","student","71457"
95,"ml100k-user_95",31.0,"M","administrator","10707"
96,"ml100k-user_96",25.0,"F","artist","75206"
97,"ml100k-user_97",43.0,"M","artist","98006"
98,"ml100k-user_98",49.0,"F","executive","90291"
99,"ml100k-user_99",20.0,"M","student","63129"
100,"ml100k-user_100",36.0,"M","executive","90254"
101,"ml100k-user_101",15.0,"M","student","05146"
102,"ml100k-user_102",38.0,"M","programmer","30220"
103,"ml100k-user_103",26.0,"M","student","55108"
104,"ml100k-user_104",27.0,"M","student","55108"
105,"ml100k-user_105",24.0,"M","engineer","94043"
106,"ml100k-user_106",61.0,"M","retired","55125"
107,"ml100k-user_107",39.0,"M","scientist","60466"
108,"ml100k-user_108",44.0,"M","educator","63130"
109,"ml100k-user_109",29.0,"M","other","55423"
110,"ml100k-user_110",19.0,"M","student","77840"
111,"ml100k-user_111",57.0,"M","engineer","90630"
112,"ml100k-user_112",30.0,"M","salesman","60613"
113,"ml100k-user_113",47.0,"M","executive","95032"
114,"ml100k-user_114",27.0,"M","programmer","75013"
115,"ml100k-user_115",31.0,"M","engineer","17110"
116,"ml100k-user_116",40.0,"M","healthcare","97232"
117,"ml100k-user_117",20.0,"M","student","16125"
118,"ml100k-user_118",21.0,"M","administrator","90210"
119,"ml100k-user_119",32.0,"M","programmer","67401"
120,"ml100k-user_120",47.0,"F","other","06260"
121,"ml100k-user_121",54.0,"M","librarian","99603"
122,"ml100k-user_122",32.0,"F","writer","22206"
123,"ml100k-user_123",48.0,"F","artist","20008"
124,"ml100k-user_124",34.0,"M","student","60615"
125,"ml100k-user_125",30.0,"M","lawyer","22202"
126,"ml100k-user_126",28.0,"F","lawyer","20015"
127,"ml100k-user_127",33.0,"M","none","73439"
128,"ml100k-user_128",24.0,"F","marketing","20009"
129,"ml100k-user_129",36.0,"F","marketing","07039"
130,"ml100k-user_130",20.0,"M","none","60115"
131,"ml100k-user_131",59.0,"F","administrator","15237"
132,"ml100k-user_132",24.0,"M","other","94612"
133,"ml100k-user_133",53.0,"M","engineer","78602"
134,"ml100k-user_134",31.0,"M","programmer","80236"
135,"ml100k-user_135",23.0,"M","student","38401"
136,"ml100k-user_136",51.0,"M","other","97365"
137,"ml100k-user_137",50.0,"M","educator","84408"
138,"ml100k-user_138",46.0,"M","doctor","53211"
139,"ml100k-user_139",20.0,"M","student","08904"
140,"ml100k-user_140",30.0,"F","student","32250"
141,"ml100k-user_141",49.0,"M","programmer","36117"
142,"ml100k-user_142",13.0,"M","other","48118"
143,"ml100k-user_143",42.0,"M","technician","08832"
144,"ml100k-user_144",53.0,"M","programmer","20910"
145,"ml100k-user_145",31.0,"M","entertainment","V3N4P"
146,"ml100k-user_146",45.0,"M","artist","83814"
147,"ml100k-user_147",40.0,"F","librarian","02143"
148,"ml100k-user_148",33.0,"M","engineer","97006"
149,"ml100k-user_149",35.0,"F","marketing","17325"
150,"ml100k-user_150",20.0,"F","artist","02139"
151,"ml100k-user_151",38.0,"F","administrator","48103"
152,"ml100k-user_152",33.0,"F","educator","68767"
153,"ml100k-user_153",25.0,"M","student","60641"
154,"ml100k-user_154",25.0,"M","student","53703"
155,"ml100k-user_155",32.0,"F","other","11217"
156,"ml100k-user_156",25.0,"M","educator","08360"
157,"ml100k-user_157",57.0,"M","engineer","70808"
158,"ml100k-user_158",50.0,"M","educator","27606"
159,"ml100k-user_159",23.0,"F","student","55346"
160,"ml100k-user_160",27.0,"M","programmer","66215"
161,"ml100k-user_161",50.0,"M","lawyer","55104"
162,"ml100k-user_162",25.0,"M","artist","15610"
163,"ml100k-user_163",49.0,"M","administrator","97212"
164,"ml100k-user_164",47.0,"M","healthcare","80123"
165,"ml100k-user_165",20.0,"F","other","53715"
166,"ml100k-user_166",47.0,"M","educator","55113"
167,"ml100k-user_167",37.0,"M","other","L9G2B"
168,"ml100k-user_168",48.0,"M","other","80127"
169,"ml100k-user_169",52.0,"F","other","53705"
170,"ml100k-user_170",53.0,"F","healthcare","30067"
171,"ml100k-user_171",48.0,"F","educator","78750"
172,"ml100k-user_172",55.0,"M","marketing","22207"
173,"ml100k-user_173",56.0,"M","other","22306"
174,"ml100k-user_174",30.0,"F","administrator","52302"
175,"ml100k-user_175",26.0,"F","scientist","21911"
176,"ml100k-user_176",28.0,"M","scientist","07030"
177,"ml100k-user_177",20.0,"M","programmer","19104"
178,"ml100k-user_178",26.0,"M","other","49512"
179,"ml100k-user_179",15.0,"M","entertainment","20755"
180,"ml100k-user_180",22.0,"F","administrator","60202"
181,"ml100k-user_181",26.0,"M","executive","21218"
182,"ml100k-user_182",36.0,"M","programmer","33884"
183,"ml100k-user_183",33.0,"M","scientist","27708"
184,"ml100k-user_184",37.0,"M","librarian","76013"
185,"ml100k-user_185",53.0,"F","librarian","97403"
186,"ml100k-user_186",39.0,"F","executive","00000"
187,"ml100k-user_187",26.0,"M","educator","16801"
188,"ml100k-user_188",42.0,"M","student","29440"
189,"ml100k-user_189",32.0,"M","artist","95014"
190,"ml100k-user_190",30.0,"M","administrator","95938"
191,"ml100k-user_191",33.0,"M","administrator","95161"
192,"ml100k-user_192",42.0,"M","educator","90840"
193,"ml100k-user_193",29.0,"M","student","49931"
194,"ml100k-user_194",38.0,"M","administrator","02154"
195,"ml100k-user_195",42.0,"M","scientist","93555"
196,"ml100k-user_196",49.0,"M","writer","55105"
197,"ml100k-user_197",55.0,"M","technician","75094"
198,"ml100k-user_198",21.0,"F","student","55414"
199,"ml100k-user_199",30.0,"M","writer","17604"
200,"ml100k-user_200",40.0,"M","programmer","93402"
201,"ml100k-user_201",27.0,"M","writer","E2A4H"
202,"ml100k-user_202",41.0,"F","educator","60201"
203,"ml100k-user_203",25.0,"F","student","32301"
204,"ml100k-user_204",52.0,"F","librarian","10960"
205,"ml100k-user_205",47.0,"M","lawyer","06371"
206,"ml100k-user_206",14.0,"F","student","53115"
207,"ml100k-user_207",39.0,"M","marketing","92037"
208,"ml100k-user_208",43.0,"M","engineer","01720"
209,"ml100k-user_209",33.0,"F","educator","85710"
210,"ml100k-user_210",39.0,"M","engineer","03060"
211,"ml100k-user_211",66.0,"M","salesman","32605"
212,"ml100k-user_212",49.0,"F","educator","61401"
213,"ml100k-user_213",33.0,"M","executive","55345"
214,"ml100k-user_214",26.0,"F","librarian","11231"
215,"ml100k-user_215",35.0,"M","programmer","63033"
216,"ml100k-user_216",22.0,"M","engineer","02215"
217,"ml100k-user_217",22.0,"M","other","11727"
218,"ml100k-user_218",37.0,"M","administrator","06513"
219,"ml100k-user_219",32.0,"M","programmer","43212"
220,"ml100k-user_220",30.0,"M","librarian","78205"
221,"ml100k-user_221",19.0,"M","student","20685"
222,"ml100k-user_222",29.0,"M","programmer","27502"
223,"ml100k-user_223",19.0,"F","student","47906"
224,"ml100k-user_224",31.0,"F","educator","43512"
225,"ml100k-user_225",51.0,"F","administrator","58202"
226,"ml100k-user_226",28.0,"M","student","92103"
227,"ml100k-user_227",46.0,"M","executive","60659"
228,"ml100k-user_228",21.0,"F","student","22003"
229,"ml100k-user_229",29.0,"F","librarian","22903"
230,"ml100k-user_230",28.0,"F","student","14476"
231,"ml100k-user_231",48.0,"M","librarian","01080"
232,"ml100k-user_232",45.0,"M","scientist","99709"
233,"ml100k-user_233",38.0,"M","engineer","98682"
234,"ml100k-user_234",60.0,"M","retired","94702"
235,"ml100k-user_235",37.0,"M","educator","22973"
236,"ml100k-user_236",44.0,"F","writer","53214"
237,"ml100k-user_237",49.0,"M","administrator","63146"
238,"ml100k-user_238",42.0,"F","administrator","44124"
239,"ml100k-user_239",39.0,"M","artist","95628"
240,"ml100k-user_240",23.0,"F","educator","20784"
241,"ml100k-user_241",26.0,"F","student","20001"
242,"ml100k-user_242",33.0,"M","educator","31404"
243,"ml100k-user_243",33.0,"M","educator","60201"
244,"ml100k-user_244",28.0,"M","technician","80525"
245,"ml100k-user_245",22.0,"M","student","55109"
246,"ml100k-user_246",19.0,"M","student","28734"
247,"ml100k-user_247",28.0,"M","engineer","20770"
248,"ml100k-user_248",25.0,"M","student","37235"
249,"ml100k-user_249",25.0,"M","student","84103"
250,"ml100k-user_250",29.0,"M","executive","95110"
251,"ml100k-user_251",28.0,"M","doctor","85032"
252,"ml100k-user_252",42.0,"M","engineer","07733"
253,"ml100k-user_253",26.0,"F","librarian","22903"
254,"ml100k-user_254",44.0,"M","educator","42647"
255,"ml100k-user_255",23.0,"M","entertainment","07029"
256,"ml100k-user_256",35.0,"F","none","39042"
257,"ml100k-user_257",17.0,"M","student","77005"
258,"ml100k-user_258",19.0,"F","student","77801"
259,"ml100k-user_259",21.0,"M","student","48823"
260,"ml100k-user_260",40.0,"F","artist","89801"
261,"ml100k-user_261",28.0,"M","administrator","85202"
262,"ml100k-user_262",19.0,"F","student","78264"
263,"ml100k-user_263",41.0,"M","programmer","55346"
264,"ml100k-user_264",36.0,"F","writer","90064"
265,"ml100k-user_265",26.0,"M","executive","84601"
266,"ml100k-user_266",62.0,"F","administrator","78756"
267,"ml100k-user_267",23.0,"M","engineer","83716"
268,"ml100k-user_268",24.0,"M","engineer","19422"
269,"ml100k-user_269",31.0,"F","librarian","43201"
270,"ml100k-user_270",18.0,"F","student","63119"
271,"ml100k-user_271",51.0,"M","engineer","22932"
272,"ml100k-user_272",33.0,"M","scientist","53706"
273,"ml100k-user_273",50.0,"F","other","10016"
274,"ml100k-user_274",20.0,"F","student","55414"
275,"ml100k-user_275",38.0,"M","engineer","92064"
276,"ml100k-user_276",21.0,"M","student","95064"
277,"ml100k-user_277",35.0,"F","administrator","55406"
278,"ml100k-user_278",37.0,"F","librarian","30033"
279,"ml100k-user_279",33.0,"M","programmer","85251"
280,"ml100k-user_280",30.0,"F","librarian","22903"
281,"ml100k-user_281",15.0,"F","student","06059"
282,"ml100k-user_282",22.0,"M","administrator","20057"
283,"ml100k-user_283",28.0,"M","programmer","55305"
284,"ml100k-user_284",40.0,"M","executive","92629"
285,"ml100k-user_285",25.0,"M","programmer","53713"
286,"ml100k-user_286",27.0,"M","student","15217"
287,"ml100k-user_287",21.0,"M","salesman","31211"
288,"ml100k-user_288",34.0,"M","marketing","23226"
289,"ml100k-user_289",11.0,"M","none","94619"
290,"ml100k-user_290",40.0,"M","engineer","93550"
291,"ml100k-user_291",19.0,"M","student","44106"
292,"ml100k-user_292",35.0,"F","programmer","94703"
293,"ml100k-user_293",24.0,"M","writer","60804"
294,"ml100k-user_294",34.0,"M","technician","92110"
295,"ml100k-user_295",31.0,"M","educator","50325"
296,"ml100k-user_296",43.0,"F","administrator","16803"
297,"ml100k-user_297",29.0,"F","educator","98103"
298,"ml100k-user_298",44.0,"M","executive","01581"
299,"ml100k-user_299",29.0,"M","doctor","63108"
300,"ml100k-user_300",26.0,"F","programmer","55106"
301,"ml100k-user_301",24.0,"M","student","55439"
302,"ml100k-user_302",42.0,"M","educator","77904"
303,"ml100k-user_303",19.0,"M","student","14853"
304,"ml100k-user_304",22.0,"F","student","71701"
305,"ml100k-user_305",23.0,"M","programmer","94086"
306,"ml100k-user_306",45.0,"M","other","73132"
307,"ml100k-user_307",25.0,"M","student","55454"
308,"ml100k-user_308",60.0,"M","retired","95076"
309,"ml100k-user_309",40.0,"M","scientist","70802"
310,"ml100k-user_310",37.0,"M","educator","91711"
311,"ml100k-user_311",32.0,"M","technician","73071"
312,"ml100k-user_312",48.0,"M","other","02110"
313,"ml100k-user_313",41.0,"M","marketing","60035"
314,"ml100k-user_314",20.0,"F","student","08043"
315,"ml100k-user_315",31.0,"M","educator","18301"
316,"ml100k-user_316",43.0,"F","other","77009"
317,"ml100k-user_317",22.0,"M","administrator","13210"
318,"ml100k-user_318",65.0,"M","retired","06518"
319,"ml100k-user_319",38.0,"M","programmer","22030"
320,"ml100k-user_320",19.0,"M","student","24060"
321,"ml100k-user_321",49.0,"F","educator","55413"
322,"ml100k-user_322",20.0,"M","student","50613"
323,"ml100k-user_323",21.0,"M","student","19149"
324,"ml100k-user_324",21.0,"F","student","02176"
325,"ml100k-user_325",48.0,"M","technician","02139"
326,"ml100k-user_326",41.0,"M","administrator","15235"
327,"ml100k-user_327",22.0,"M","student","11101"
328,"ml100k-user_328",51.0,"M","administrator","06779"
329,"ml100k-user_329",48.0,"M","educator","01720"
330,"ml100k-user_330",35.0,"F","educator","33884"
331,"ml100k-user_331",33.0,"M","entertainment","91344"
332,"ml100k-user_332",20.0,"M","student","40504"
333,"ml100k-user_333",47.0,"M","other","V0R2M"
334,"ml100k-user_334",32.0,"M","librarian","30002"
335,"ml100k-user_335",45.0,"M","executive","33775"
336,"ml100k-user_336",23.0,"M","salesman","42101"
337,"ml100k-user_337",37.0,"M","scientist","10522"
338,"ml100k-user_338",39.0,"F","librarian","59717"
339,"ml100k-user_339",35.0,"M","lawyer","37901"
340,"ml100k-user_340",46.0,"M","engineer","80123"
341,"ml100k-user_341",17.0,"F","student","44405"
342,"ml100k-user_342",25.0,"F","other","98006"
343,"ml100k-user_343",43.0,"M","engineer","30093"
344,"ml100k-user_344",30.0,"F","librarian","94117"
345,"ml100k-user_345",28.0,"F","librarian","94143"
346,"ml100k-user_346",34.0,"M","other","76059"
347,"ml100k-user_347",18.0,"M","student","90210"
348,"ml100k-user_348",24.0,"F","student","45660"
349,"ml100k-user_349",68.0,"M","retired","61455"
350,"ml100k-user_350",32.0,"M","student","97301"
351,"ml100k-user_351",61.0,"M","educator","49938"
352,"ml100k-user_352",37.0,"F","programmer","55105"
353,"ml100k-user_353",25.0,"M","scientist","28480"
354,"ml100k-user_354",29.0,"F","librarian","48197"
355,"ml100k-user_355",25.0,"M","student","60135"
356,"ml100k-user_356",32.0,"F","homemaker","92688"
357,"ml100k-user_357",26.0,"M","executive","98133"
358,"ml100k-user_358",40.0,"M","educator","10022"
359,"ml100k-user_359",22.0,"M","student","61801"
360,"ml100k-user_360",51.0,"M","other","98027"
361,"ml100k-user_361",22.0,"M","student","44074"
362,"ml100k-user_362",35.0,"F","homemaker","85233"
363,"ml100k-user_363",20.0,"M","student","87501"
364,"ml100k-user_364",63.0,"M","engineer","01810"
365,"ml100k-user_365",29.0,"M","lawyer","20009"
366,"ml100k-user_366",20.0,"F","student","50670"
367,"ml100k-user_367",17.0,"M","student","37411"
368,"ml100k-user_368",18.0,"M","student","92113"
369,"ml100k-user_369",24.0,"M","student","91335"
370,"ml100k-user_370",52.0,"M","writer","08534"
371,"ml100k-user_371",36.0,"M","engineer","99206"
372,"ml100k-user_372",25.0,"F","student","66046"
373,"ml100k-user_373",24.0,"F","other","55116"
374,"ml100k-user_374",36.0,"M","executive","78746"
375,"ml100k-user_375",17.0,"M","entertainment","37777"
376,"ml100k-user_376",28.0,"F","other","10010"
377,"ml100k-user_377",22.0,"M","student","18015"
378,"ml100k-user_378",35.0,"M","student","02859"
379,"ml100k-user_379",44.0,"M","programmer","98117"
380,"ml100k-user_380",32.0,"M","engineer","55117"
381,"ml100k-user_381",33.0,"M","artist","94608"
382,"ml100k-user_382",45.0,"M","engineer","01824"
383,"ml100k-user_383",42.0,"M","administrator","75204"
384,"ml100k-user_384",52.0,"M","programmer","45218"
385,"ml100k-user_385",36.0,"M","writer","10003"
386,"ml100k-user_386",36.0,"M","salesman","43221"
387,"ml100k-user_387",33.0,"M","entertainment","37412"
388,"ml100k-user_388",31.0,"M","other","36106"
389,"ml100k-user_389",44.0,"F","writer","83702"
390,"ml100k-user_390",42.0,"F","writer","85016"
391,"ml100k-user_391",23.0,"M","student","84604"
392,"ml100k-user_392",52.0,"M","writer","59801"
393,"ml100k-user_393",19.0,"M","student","83686"
394,"ml100k-user_394",25.0,"M","administrator","96819"
395,"ml100k-user_395",43.0,"M","other","44092"
396,"ml100k-user_396",57.0,"M","engineer","94551"
397,"ml100k-user_397",17.0,"M","student","27514"
398,"ml100k-user_398",40.0,"M","other","60008"
399,"ml100k-user_399",25.0,"M","other","92374"
400,"ml100k-user_400",33.0,"F","administrator","78213"
401,"ml100k-user_401",46.0,"F","healthcare","84107"
402,"ml100k-user_402",30.0,"M","engineer","95129"
403,"ml100k-user_403",37.0,"M","other","06811"
404,"ml100k-user_404",29.0,"F","programmer","55108"
405,"ml100k-user_405",22.0,"F","healthcare","10019"
406,"ml100k-user_406",52.0,"M","educator","93109"
407,"ml100k-user_407",29.0,"M","engineer","03261"
408,"ml100k-user_408",23.0,"M","student","61755"
409,"ml100k-user_409",48.0,"M","administrator","98225"
410,"ml100k-user_410",30.0,"F","artist","94025"
411,"ml100k-user_411",34.0,"M","educator","44691"
412,"ml100k-user_412",25.0,"M","educator","15222"
413,"ml100k-user_413",55.0,"M","educator","78212"
414,"ml100k-user_414",24.0,"M","programmer","38115"
415,"ml100k-user_415",39.0,"M","educator","85711"
416,"ml100k-user_416",20.0,"F","student","92626"
417,"ml100k-user_417",27.0,"F","other","48103"
418,"ml100k-user_418",55.0,"F","none","21206"
419,"ml100k-user_419",37.0,"M","lawyer","43215"
420,"ml100k-user_420",53.0,"M","educator","02140"
421,"ml100k-user_421",38.0,"F","programmer","55105"
422,"ml100k-user_422",26.0,"M","entertainment","94533"
423,"ml100k-user_423",64.0,"M","other","91606"
424,"ml100k-user_424",36.0,"F","marketing","55422"
425,"ml100k-user_425",19.0,"M","student","58644"
426,"ml100k-user_426",55.0,"M","educator","01602"
427,"ml100k-user_427",51.0,"M","doctor","85258"
428,"ml100k-user_428",28.0,"M","student","55414"
429,"ml100k-user_429",27.0,"M","student","29205"
430,"ml100k-user_430",38.0,"M","scientist","98199"
431,"ml100k-user_431",24.0,"M","marketing","92629"
432,"ml100k-user_432",22.0,"M","entertainment","50311"
433,"ml100k-user_433",27.0,"M","artist","11211"
434,"ml100k-user_434",16.0,"F","student","49705"
435,"ml100k-user_435",24.0,"M","engineer","60007"
436,"ml100k-user_436",30.0,"F","administrator","17345"
437,"ml100k-user_437",27.0,"F","other","20009"
438,"ml100k-user_438",51.0,"F","administrator","43204"
439,"ml100k-user_439",23.0,"F","administrator","20817"
440,"ml100k-user_440",30.0,"M","other","48076"
441,"ml100k-user_441",50.0,"M","technician","55013"
442,"ml100k-user_442",22.0,"M","student","85282"
443,"ml100k-user_443",35.0,"M","salesman","33308"
444,"ml100k-user_444",51.0,"F","lawyer","53202"
445,"ml100k-user_445",21.0,"M","writer","92653"
446,"ml100k-user_446",57.0,"M","educator","60201"
447,"ml100k-user_447",30.0,"M","administrator","55113"
448,"ml100k-user_448",23.0,"M","entertainment","10021"
449,"ml100k-user_449",23.0,"M","librarian","55021"
450,"ml100k-user_450",35.0,"F","educator","11758"
451,"ml100k-user_451",16.0,"M","student","48446"
452,"ml100k-user_452",35.0,"M","administrator","28018"
453,"ml100k-user_453",18.0,"M","student","06333"
454,"ml100k-user_454",57.0,"M","other","97330"
455,"ml100k-user_455",48.0,"M","administrator","83709"
456,"ml100k-user_456",24.0,"M","technician","31820"
457,"ml100k-user_457",33.0,"F","salesman","30011"
458,"ml100k-user_458",47.0,"M","technician","Y1A6B"
459,"ml100k-user_459",22.0,"M","student","29201"
460,"ml100k-user_460",44.0,"F","other","60630"
461,"ml100k-user_461",15.0,"M","student","98102"
462,"ml100k-user_462",19.0,"F","student","02918"
463,"ml100k-user_463",48.0,"F","healthcare","75218"
464,"ml100k-user_464",60.0,"M","writer","94583"
465,"ml100k-user_465",32.0,"M","other","05001"
466,"ml100k-user_466",22.0,"M","student","90804"
467,"ml100k-user_467",29.0,"M","engineer","91201"
468,"ml100k-user_468",28.0,"M","engineer","02341"
469,"ml100k-user_469",60.0,"M","educator","78628"
470,"ml100k-user_470",24.0,"M","programmer","10021"
471,"ml100k-user_471",10.0,"M","student","77459"
